Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Great Key Island Uromys,Uromys siebersi,Rodentia,Muridae,1924,97,0,None known ,1,0,Australian ,1,Indonesia ,Kai Islands,DD,
Squirrel sp.,Funisciurus bayonii,Rodentia,Sciuridae,1957,64,0,Climate change and habitat loss assumed,0,0,African,1,Democratic Republic of Congo,,DD,
Madagascar Slit-faced Bat,Nycteris madagascariensis,Chiroptera,Nycteridae,1910,111,0,None known,1,0,African,1,Madagascar,,DD,Altitudinal zone unknown
Shrew sp.,Sorex alaskanus,Rodentia,Soricidae,1970,51,0,Hunting ,0,0,North American,0,USA,Alaska,DD,
Emma's Giant Rat,Uromys emmae,Rodentia,Muridae,1945,76,1,Habitat loss,1,0,Australian ,1,Indonesia,Paidaido Islands,CR,Known only from holotype.
Javan Pithecheir,Pithecheir melanurus,Rodentia,Muridae,1930,91,0,Possibly Habitat loss,1,0,Oriental,1,Indonesia,Java,VU,"Last observed ""before WW2"", 1939  conervativly applied."
Temminck's Mysterious bat,Nycticeius aenobarbus,Chiroptera ,Vespertilionidae,1840,181,0,Unknown,?,?,?,?,?,,DD,Known only from holotype.
Rat sp.,Orthogeomys cuniculus,Rodentia ,Geomyidae,1963,58,0,Unknown,0,0,South American,1,Mexico,,DD,GBIF used as last obervation date resource.
Aceh Rat,Rattus blangorum,Rodentia,Muridae,1942,79,0,unknown,1,1,Oriental,1,Indonesia ,Sumatra,DD,Known only from type series.
Grauer's Large-headed Shrew,Paracrocidura graueri,Eulipotyphla,Soricidae,1908,113,0,Unknown,0,1,African,1,Democratic Republic of Congo,,DD,Known only from holotype.
Secretive Dwarf Squirrel,Prosciurillus abstrusus,Rodentia,Sciuridae,1958,63,0,Hunting,1,1,Oriental,1,Indonesia,Sulawesi,DD,Known only from holotype.
Koopman?s Peleng Island Rat,Rattus koopmani,Rodentia,Muridae,1938,83,0,Habitat loss,1,0,Oriental,1,Indonesia ,Sulawesi,DD,Known only from holotype.
Small Harvest Mouse,Reithrodontomys musseri,Rodentia,Cricetidae,1966,55,0,Habitat loss,0,1,South American,1,Costa Rica,,DD,Known only from holotype. Type locality destroyed. 
Dar es Salaam Pipistrelle,Pipistrellus permixtus,Chiroptera ,Vespertilionidae,1957,64,0,Unknown,0,0,African,1,Tanzania,,DD,Known only from holotype. Taxonomy uncertain.
Hayman's Lesser Epauletted Fruit Bat,Micropteropus intermedius,Chiroptera,Pteropodidae,1953,68,0,Habitat loss assumed,0,0,African,1,Democratic Republic of Congo,,DD,GBIF used as last obervation date resource.
Louisiade Woolly Bat,Kerivoula agnella,Chiroptera,Vespertilionidae,1956,65,0,Habitat loss assumed,1,0,Australian ,1,Papua New Guinea,Louisiade Islands,EN,GBIF used as last obervation date resource.
Aru Flying Fox,Pteropus aruensis,Chiroptera,Pteropodidae,1865,156,1,Unknown,1,0,Australian ,1,Indonesia,Aru Islands,CR,GBIF used as last obervation date resource.
Rumpi Mouse Shrew,Myosorex rumpii,Eulipotyphla,Soricidae,1967,54,0,Habitat loss,0,1,African,1,Cameroon,,EN,Known only from holotype.
Somali Golden Mole,Calcochloris tytonis,Afrosoricida,Chrysochloridae,1964,57,0,Unknown,0,0,African,1,Somalia,,DD,Known only from holotype.
Silent Grass Mouse,Akodon surdus,Rodentia,Cricetidae,1955,66,0,Habitat loss ,0,1,South American,1,Peru,,VU,GBIF used as last obervation date resource.
Puna Mouse,Punomys lemminus,Rodentia,Cricetidae,1952,69,0,Climate change,0,1,South American,1,Peru,,VU,GBIF used as last obervation date resource.
Rio de Janeiro Dwarf Cottontail,Sylvilagus tapetillus,Lagomorpha,Leporidae,1892,129,0,Habitat loss,0,0,South American,1,Brazil,,VU ,Tacticly acknowledged as potentially extinct even if not listed as such.
Crested Leaf-nosed Bat,Hipposideros inexpectatus,Chiroptera,Hipposideridae,1925,96,0,Unknown,1,0,Oriental,1,Indonesia (Sulawesi),,DD,Known from two specimens. Altitudinal zone unknown.
Oubangui Mouse,Mus oubanguii,Rodentia,Muridae,1970,51,0,Habitat loss assumed,0,0,African,1,Central African Republic,,DD,Known only from type series.
Schouteden's Thicket Rat,Thamnomys schoutedeni,Rodentia,Muridae,1907,114,0,Possibly habitat loss,0,0,African,1,Democratic Republic of Congo,,DD,Known only from type series.
Hoogerwerf?s Sumatran Rat,Rattus hoogerwerfi,Rodentia,Muridae,1939,82,0,None,1,1,Oriental,1,Indonesia ,Sumatra,VU,Known only from a few specimens. GBIF used as last obervation date resource.
Singaporese Whiskered Myotis,Myotis oreias,Chiroptera,Vespertilionidae,1840,181,0,Unknown,1,0,Oriental,1,Singapore,,DD,Known only from holotype.
Vernay's Climbing Mouse,Dendromus vernayi,Rodentia,Nesomyidae,1937,84,0,Unknown,0,1,African,1,Angola,,DD,Known only from holotype.
Vesper Bat sp.,Glauconycteris machadoi,Chiroptera,Vespertilionidae,1963,58,0,Unknown,0,0,African,1,Angola,,DD,Known only from holotype.
Tuco-tuco Sp.,Ctenomys johannis,Rodentia,Ctenomyidae,1921,100,0,Unknown,0,0,South American,1,Argentina,,DD,Known only from holotype.
Spiny Rat sp.,Makalata obscura,Rodentia,Echimyidae,1840,181,0,Unknown,0,0,South American,1,Brazil,,DD,Known only from holotype.
Fuscous Shrew,Crocidura polia,Eulipotyphla,Soricidae,1916,105,0,Unknown,0,0,African,1,Democratic Republic of Congo,,DD,Known only from holotype.
Niangara Mops Bat,Mops niangarae,Chiroptera,Molossidae,1917,104,0,Unknown,0,0,South American,1,Democratic Republic of Congo,,DD,Known only from holotype.
Greater Congo Shrew,Congosorex polli,Eulipotyphla,Soricidae,1956,65,0,Habitat loss assumed,0,0,African,1,Democratic Republic of Congo,,DD,Known only from holotype.
Schaller's Mouse Shrew,Myosorex schalleri,Eulipotyphla,Soricidae,1966,55,0,Unknown,0,1,African,1,Democratic Republic of Congo,,DD,Known only from holotype.
Ethiopian Mylomys,Mylomys rex,Rodentia,Muridae,1906,115,0,Habitat loss assumed,0,1,African,1,Ethiopia ,,DD,Known only from holotype.
Sumatran Water Shrew,Chimarrogale sumatrana,Eulipotyphla,Soricidae,1921,100,0,Habitat loss assumed,1,1,Oriental,1,Indonesia ,Sumatra,DD,Known only from holotype.
Dollman?s Sulawesi Maxomys,Maxomys dollmani,Rodentia,Muridae,1941,80,0,Habitat loss assumed,1,1,Oriental,1,Indonesia ,Sulawesi,DD,Known only from holotype.
Short-headed Leaf-nosed Bat,Hipposideros breviceps,Chiroptera,Hipposideridae,1941,80,0,Unknown,1,0,Oriental,1,Indonesia ,Sumatra,DD,Known only from holotype.
Malayan Leaf-nosed Bat,Hipposideros nequam,Chiroptera,Hipposideridae,1918,103,0,Unknown,0,0,Oriental,1,Malaysia,Peninsula Malaysia,DD,Known only from holotype.
Anthony's Pipistrelle,Hypsugo anthonyi,Chiroptera,Vespertilionidae,1942,79,0,Unknown,0,1,Oriental,1,Myanmar,,DD,Known only from holotype.
Savanna Swamp Shrew,Crocidura longipes,Eulipotyphla,Soricidae,1967,54,0,Pollution and habitat loss assumed,0,0,African,1,Nigeria,,DD,Known only from holotype.
Chacoan Tuco-tuco,Ctenomys dorsalis,Rodentia,Ctenomyidae,1900,121,0,Habitat loss assumed,0,0,South American,1,Paraguay,,DD,Known only from holotype.
Rosalinda's Oldfield Mouse,Thomasomys rosalinda,Rodentia,Cricetidae,1926,95,0,Habitat Loss,0,1,South American,1,Peru,,EN,Known only from holotype.
Luzon Shrew Mouse,Crunomys fallax,Rodentia,Muridae,1896,125,0,Habitat loss,1,0,Oriental,1,Phillipines,,DD,Known only from holotype.
Myotis sp.,Myotis dieteri,Chiroptera,Vespertilionidae,1968,53,0,Unknown,0,0,African,1,Republic of Congo,,DD,Known only from holotype.
Hoogstraal's Striped Grass Mouse,Lemniscomys hoogstraali,Rodentia,Muridae,1961,60,0,Unknown,0,0,African,1,Sudan,,DD,Known only from holotype.
Peters' Musk Shrew,Crocidura gracilipes,Eulipotyphla,Soricidae,1870,151,0,Unknown,0,0,African,1,Uganda,,DD,Known only from holotype.
