Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Schneider's Banana Frog,Afrixalus schneideri,Anura,Hyperoliidae,1889,132,0,Urbanisation,0,,African,1,Cameroon,,DD,Known only from holotype.Taxonomy uncertain.Tacticly acknowledged as potentially extinct even if not listed as such.
Island Spiny-chest Frog,Alsodes monticola,Anura,Alsodidae,1899,122,0,Unknown,0,,South American,1,Chile,,DD,"Known only from holotype. Last observed in 1800s, 1899 conservatively applied."
Malleco Spiny-chest Frog,Alsodes vittatus,Anura,Alsodidae,1901,120,0,None,0,,South American,1,Chile,,DD,Known only from type series. 
Niceforo's Poison Frog,Ameerega ingeri,Anura,Dendrobatidae,1970,51,0,Habitat loss,0,1,South American,1,Colombia,,DD,Known only from holotype .
Admirable False Brook Salamander,Aquiloeurycea praecellens,Caudata,Plethodontidae,1955,66,1,Habitat loss,0,0,South American,1,Mexico,,CR,Known only from holotype.
Du Toit's Torrent Frog,Arthroleptides dutoiti,Anura,Petropedetidae,1962,59,1,Unknown. Chytrid partially hypothesised,0,1,African,1,Kenya,Mountains on Kenya/Uganda border,CR,
Overlooked Squeaker Frog,Arthroleptis kutogundua,Anura,Arthroleptidae,1930,91,1,Habitat loss,0,1,African,1,Tanzania,Eastern Arc Mountains,CR,Known only from holotype.
Toad sp.,Atelopus gigas,Anura,Bufonidae,1970,51,1,"Chytrid, habitat loss",0,1,South American,1,Colombia,,CR,Known only from type series. 
San Isidro Stubfoot Toad,Atelopus pedimarmoratus,Anura,Bufonidae,1963,58,1,"Habitat loss, chytrid",0,1,South American,1,Colombia,,CR,Known only from type series. 
Normandia Caecilian,Caecilia crassisquama,Gymnophiona,Caeciliidae,1968,53,0,Habitat loss,0,1,South American,1,Ecuador,,DD,Known only from type series. 
Fundo Sinchona Caecilian,Caecilia inca,Gymnophiona,Caeciliidae,1944,77,0,Habitat loss,0,1,South American,1,Peru,,DD,Known only from holotype.
Frog sp.,Callulops dubius,Anura,Microhylidae,1895,126,0,Habitat loss,1,0,Oriental,1,Indonesia,Talaud islands,DD,Known only from type series.  Collection date not given so description date applied.
Kopstein's Callulops Frog,Callulops kopsteini,Anura,Microhylidae,1924,97,0,Habitat loss,1,0,Australian ,1,Indonesia ,Sanana island,DD,Known only from type series. 
Frog sp.,Cardioglossa inornata,Anura,Arthroleptidae,1961,60,0,"Mining, habitat loss",0,1,African,1,Democratic Republic of the Congo,,DD,Known only from type series. 
Cordillera Azul Giant Glass Frog,Centrolene azulae,Anura,Centrolenidae,1966,55,0,Habitat loss,0,1,South American,1,Peru,,DD,Known only from holotype.
Frog sp.,Ceratophrys testudo,Anura,Ceratobatrachidae,1937,84,0,Unknown,0,?,South American,1,Ecuador,,DD,Known only from type series. Exact collection locality uncertain.
Kuttal Caecilian,Chikila fulleri,Gymnophiona,Chikilidae,1904,117,0,Unknown,0,0,Oriental,1,India,,DD,Known only from holotype.
Cherrapunji Bubble-nest Frog,Chirixalus cherrapunjiae,Anura,Rhacophoriae,1959,62,0,Unknown,0,1,Oriental,1,India,,DD,Known only from type series. 
Common Rainforest Frog,Choerophryne variegata,Anura,Microhylidae,1923,98,0,None,1,?,Australian ,1,Indonesia,Papua,DD,Collection date not given so description date applied
Braestrup's Caecilian,Chthonerpeton braestrupi,Gymnophiona,Typhlonectidae,1968,53,0,Unknown,0,?,South American,1,Brazil,,DD,Known only from holotype.Collection date not given so description date applied.
