Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Bogert's Arboreal Alligator Lizard,Abronia bogerti,Squamata,Anguidae,1948,73,0,Habitat loss,0,0,South American,1,Mexico,,DD,Known only from holotype.
Smoothback Arboreal Alligator Lizard,Abronia leurolepis,Squamata,Anguidae,1937,84,0,Habitat loss,0,1,South American,1,Mexico,,DD,Known only from holotype.
Northern Chiapas Arboreal Alligator Lizard,Abronia ochoterenai,Squamata,Anguidae,1939,82,0,Habitat loss,0,1,South American,1,Mexico,,DD,Collection date not given so description date applied.
Kakamega Blind-snake,Afrotyphlops kaimosae,Squamata,Typhlopidae,1935,86,0,Unknown. Habitat loss hypothesised,0,0,African,1,Kenya,,DD,Known only from holotype.
Kenyan Dwarf Blind-snake,Afrotyphlops nanus,Squamata,Typhlopidae,1896,125,0,Unknown,0,0,African,1,Kenya,,DD,
Tanga Blind-snake,Afrotyphlops platyrhynchus,Squamata,Typhlopidae,1910,111,0,Unknown,0,0,African,1,Tanzania,,DD,Known only from type series. Collection date not given so description date applied.
Agama sp.,Agama cornii,Squamata,Agamidae,1928,93,0,Unknown,0,0,Eurasian,0,Eritrea,,DD,Known only from holotype.
Barbados Skink,Alinea lanceolata,Squamata,Scincidae,1889,132,1,"Introduced predators, habitat loss, ",1,0,South American,1,Barbados,,CR,
Taita Hills Purple-glossed Snake,Amblyodipsas teitana,Squamata,Atractaspididae,1936,85,0,Unknown. Habitat loss hypothesised,0,1,African,1,Kenya,,DD,
Estado Falc¢n Worm Snake,Amerotyphlops lehneri,Squamata,Typhlopidae,1945,76,0,Unknown. Overgrazing hypothesised,0,0,South American,1,Venezuela,,DD,
Snake sp.,Amnesteophis melanauchen,Squamata,Dipsadidae,1863,158,0,Unknown,0,0,South American,1,Brazil,,DD,
Neglected Worm Lizard,Amphisbaena neglecta,Squamata,Amphisbaenidae,1936,85,0,Unknown. Infrastructure development hypothesised,0,0,South American,1,Brazil,,DD,Known only from type series. GBIF used as last obervation date resource .
Worm Lizard sp.,Amphisbaena polygrammica,Squamata,Amphisbaenidae,1900,121,0,Unknown. Habitat loss hypothesised,0,?,South American,1,Peru,,DD,Known only from holotype.
Roze's Worm Lizard,Amphisbaena rozei,Squamata,Amphisbaenidae,1960,61,0,Unknown. Mining hypothesized,0,0,South American,1,Venezuela,,DD,
Anadia sp.,Anadia altaserrania,Squamata,Gymnophthalmidae,1939,82,0,None,0,1,South American,1,Colombia,,LC,Known only from holotype and one photograph.
Lindi Sharp-snouted Worm Lizard,Ancylocranium barkeri,Squamata,Amphisbaenidae,1962,59,0,Unknown. Habitat loss hypothesised,0,0,African,1,Tanzania,,DD,
Batillus Blind Snake,Anilios batillus,Squamata,Typhlopidae,1894,127,0,Unknown,0,0,Australian ,0,Australia ,New South Wales,DD,Known only from holotype. Taxonomy uncertain.
Small-eyed Blind Snake,Anilios micrommus,Squamata,Typhlopidae,1924,97,0,Unknown,0,0,Australian ,0,Australia ,Western Australia,DD,Known only from holotype.
Yampi Blind Snake,Anilios yampiensis,Squamata,Typhlopidae,1966,55,0,Unknown. Potentially mining.,1,0,Australian ,0,Australia ,Western Australia,DD,Known only from holotype.
Anole sp.,Anolis baccatus,Squamata,Dactyloidae,1873,148,0,Unknown,0,?,South American,1,Mexico,,DD,Known only from holotype. Collection date not given so description date applied.Taxonomy uncertain.
Anole sp.,Anolis forbesi,Squamata,Dactyloidae,1953,68,0,Unknown,0,1,South American,1,Mexico,,DD,Known only from holotype.
Turquino Emerald Anole,Anolis incredulus,Squamata,Dactyloidae,1963,58,0,Unknown,1,1,South American,1,Cuba,,DD,Known only from holotype.
Smooth Anole,Anolis laevis,Squamata,Dactyloidae,1876,145,0,Unknown,0,?,South American,1,Peru,,DD,Known only from holotype. Collection date not given so description date applied.
Anole sp.,Anolis microlepis,Squamata,Dactyloidae,1955,66,0,Unknown,0,0,South American,1,Mexico,,DD,Known only from type series.
Anole sp.,Anolis paravertebralis,Squamata,Dactyloidae,1920,101,0,Unknown,0,1,South American,1,Colombia,,DD,Known only from holotype. Taxonomy uncertain.
Culebra Giant Anole,Anolis roosevelti,Squamata,Dactyloidae,1932,89,1,Unknown. Habitat degradation hypothesied,1,0,South American,1,Puerto Rico,Culebra,CR,
Santa Marta Anole,Anolis santamartae,Squamata,Dactyloidae,1968,53,0,Unknown,0,1,South American,1,Colombia,,DD,Known only from type series.
Ecuador Blind Snake,Anomalepis flavapices,Squamata,Anomalepididae,1957,64,0,Habitat loss,0,0,South American,1,Ecuador,,DD,Collection date not given so description date applied.
Sumatran Giant Blind Snake,Anomochilus weberi,Squamata,Anomochilidae,1915,106,0,Potentially habitat loss,1,0,Oriental,1,Indonesia ,"Borneo, Sumatra",DD,GBIF used as last obervation date resource.
Snake sp.,Anoplohydrus aemulans,Squamata,Natricidae,1909,112,0,Potentially habitat loss,1,0,Oriental,1,Indonesia ,Sumatra,DD,Known only from holotype.
Bolivian Burrowing Snake,Apostolepis dorbignyi,Squamata,Dipsadidae,1925,96,0,Unknown,0,0,South American,1,Bolivia,,DD,GBIF used as last obervation date resource 
Burrowing Snake sp.,Apostolepis tenuis,Squamata,Dipsadidae,1927,94,0,Potentially habitat loss,0,0,South American,1,Bolivia,,DD,Known only from type series.
Sumatra Worm Snake,Argyrophis hypsobothrius,Squamata,Typhlopidae,1917,104,0,Unknown,1,0,Oriental,1,Indonesia,Sumatra,DD,Known only from type series. Collection date not given so description date applied.
Klemmer's Blind Snake,Argyrophis klemmeri,Squamata,Typhlopidae,1959,62,0,Unknown,0,0,Oriental,1,Malaysia,,DD,Known only from holotype.
