Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Plain-backed Kingfisher,Actenoides regalis,Coraciiformes,Alcedinidae,1932,89,0,Habitat loss,1,1,Oriental,1,Indonesia,Sulawesi,VU,
Guanacaste Hummingbird,Amazilia alfaroana,Caprimulgiformes,Trochilidae,1895,126,0,Potentially habitat loss,0,0,South American,1,Costa Rica,,CR,High extinction possibility 
Imperial Woodpecker,Campephilus imperialis,Piciformes,Picidae,1956,65,1,Habitat loss and hunting,0,1,North American,0,Mexico,,CR,
Vaurie's Nightjar,Caprimulgus centralasicus,Caprimulgiformes,Caprimulgidae,1929,92,0,Overgrazing & habitat loss,0,1,Eurasian,0,China,Xinjiang,DD,Known only from type series. Collection date not given so description date applied. Taxonomy uncertain.
Prigogine's Nightjar,Caprimulgus prigoginei,Caprimulgiformes,Caprimulgidae,1955,66,0,Habitat loss,0,0,African,1,Democratic Republic of Congo,,EN,Known only from holotype.
New Caledonian Lorikeet,Charmosyna diadema,Psittaciformes,Psittacidae,1913,108,0,"Unknown. Hypothesised Introduced predators, habitat loss, climate change.",1,0,Australian ,1,New Caledonia,,CR,
Rueck's Blue-flycatcher,Cyornis ruckii,Passeriformes,Muscicapidae,1918,103,0,Unknown. Habitat loss presumed.,1,0,Oriental,1,Indonesia ,Sumatra,CR,
Coppery Thorntail,Discosura letitiae,Caprimulgiformes,Trochilidae,1852,169,0,Unknown. Habitat loss presumed.,0,?,South American,1,Brazil,,DD,
Turquoise-throated Puffleg,Eriocnemis godini,Caprimulgiformes,Trochilidae,1850,171,1,Habitat loss,0,1,South American,1,Ecuador,,CR,
Louisiade Pitta,Erythropitta meeki,Passeriformes,Pittidae,1898,123,0,Possibly habitat loss,1,0,Australian ,1,Papua New Guinea,,DD,Known only from type specimen.
Black-lored Waxbill,Estrilda nigriloris,Passeriformes,Estrildidae,1950,71,0,Unknown,0,0,African,1,Democratic Republic of Congo,,DD,
New Caledonian Nightjar,Eurostopodus exul,Caprimulgiformes,Caprimulgidae,1939,82,1,Unknown. Habitat loss and introduced predators presumed.,1,0,Australian ,1,New Caledonia,,CR,
Sulu Bleeding-heart,Gallicolumba menagei,Columbiformes,Columbidae,1891,130,0,Hypothesised habitat loss and hunting,1,0,Oriental,1,Indonesia ,"Sulawesi, Sulu",CR,
New Caledonian Rail,Gallirallus lafresnayanus,Gruiformes,Rallidae,1890,131,0,Unknown. Introduced predators hypothesised,1,0,Australian ,1,New Caledonia,,CR,
Tachira Antpitta,Grallaria chthonia,Passeriformes,Formicariidae,1956,65,0,Habitat loss,0,1,South American,1,Venezuela,,CR,
Maui Nukupuu,Hemignathus affinis,Passeriformes,Fringillidae,1896,125,1,"Habitat loss, disease",0,1,Australian ,1,USA,Hawaii,CR,
Kauii Nukupuu,Hemignathus hanapepe,Passeriformes,Fringillidae,1899,122,1,"Habitat loss, disease, hurricanes",1,0,Australian ,1,USA,Hawaii,CR,
Guadalupe Storm-petrel,Hydrobates macrodactylus,Procellariiformes,Hydrobatidae,1912,109,1,Habitat degradation and introduced predators,1,0,North American,0,Mexico,Guadeloupe Island,CR,
Semper's Warbler,Leucopeza semperi,Passeriformes,Parulidae,1961,60,0,Introduced predators #1. Habitat and climate change secondary,1,0,South American,1,St Lucia,,CR,
New Britain Thicketbird,Megalurulus grosvenori,Passeriformes,Locustellidae,1959,62,0,Habitat loss and introduced predators,1,1,Australian ,1,Papua New Guinea,New Britain,VU,
Eskimo Curlew,Numenius borealis,Charadriiformes,Scolopacidae,1963,58,1,Hunting and habitat loss,0,0,Neotrropical,0,Barbados,,CR,
Himalayan Quail,Ophrysia superciliosa,Galliformes,Phasianidae,1876,145,1,Hunting and habitat loss. Climate change hypothesised.,0,1,Oriental,1,India ,,CR,
Black-naped Pheasant-pigeon,Otidiphaps insularis,Columbiformes,Columbidae,1882,139,0,Habitat loss,1,0,Australian ,1,Papua New Guinea,D'Entrecastaux Islands,EN,Known only from type specimen. Taxonomy uncertain. 
Siau Scops-owl,Otus siaoensis,Strigiformes,Strigidae,1866,155,0,Habitat loss,1,0,Oriental,1,Indonesia,"Sulawesi, Siau",CR,
Samoan Moorhen,Pareudiastes pacificus,Gruiformes,Rallidae,1873,148,1,"Introduced predators, hunting, habitat loss",1,0,Australian ,1,Samoa,,CR,
Makira Moorhen,Pareudiastes silvestris,Gruiformes,Rallidae,1953,68,0,Introduced predators,1,0,Australian ,1,Solomon Islands,,CR,
Cebu Brown-dove,Phapitreron frontalis,Columbiformes,Columbidae,1892,129,0,Habitat loss,1,0,Oriental,1,Phillipines  ,Cebu,CR,
White-chested Tinkerbird,Pogoniulus makawai,Piciformes,Lybiidae,1964,57,0,Fire,0,1,African,1,Zambia,,DD,Known only from holotype. Taxonomy uncertain.
Jamaican Petrel,Pterodroma caribbaea,Procellariiformes,Procellariidae,1879,142,1,Hunting & Introduced predators,1,0,South American,1,Jamaica,,CR,
Negros Fruit-dove,Ptilinopus arcanus,Columbiformes,Columbidae,1953,68,0,Hunting and Habitat loss,1,0,Oriental,1,Phillipines,Negros,CR,
Sinu Parakeet,Pyrrhura subandina,Psittaciformes,Psittacidae,1949,72,1,Habitat loss,0,?,South American,1,Columbia,,CR,
Dulit Partridge,Rhizothera dulitensis,Galliformes,Phasianidae,1937,84,0,Habitat loss and hunting,1,0,Oriental,1,Malaysia,"Sabah, Sarawak",VU,
Pink-headed Duck,Rhodonessa caryophyllacea,Anseriformes,Anatidae,1949,72,1,Hunting and Habitat loss,0,0,Oriental,1,India,,CR,
Cayenne Nightjar,Setopagis maculosa,Caprimulgiformes,Caprimulgidae,1917,104,0,Unknown,0,0,South American,1,Guyana,,DD,Known only from holotype. 
Jamaican Poorwill,Siphonorhis americana,Caprimulgiformes,Caprimulgidae,1860,161,1,Introduced predators and habitat loss,1,0,South American,1,Jamaica,,CR,
Crested Shelduck,Tadorna cristata,Anseriformes,Anatidae,1964,57,0,Unstated. Presumably hunting,0,0,Eurasian,0,Russia,,CR,
New Caledonian Buttonquail,Turnix novaecaledoniae,Charadriiformes,Turnicidae,1911,110,1,"Hunting, habitat loss, introduced predators",1,0,Australian ,1,New Caledonia,,CR,
Javan Lapwing,Vanellus macropterus,Charadriiformes,Charadriidae,1940,81,1,Hunting and Habitat loss,1,0,Oriental,1,Indonesia,Java,CR,
