,Common name,Scientific name,Order,Family,Presumed extinction date (usually last confirmed record where precise estimate not provided),Cause of extinction,Island/Mountain/Lowland,Location (Continent/Island),Notes,
EXTINCT,,,,,,,,,,
,Desert Bettong,Bettongia anhydra,Diprotodontia,Potoroidae,1933,Unknown. Hypothesised introduced predators and fire,Lowland,Australia,,
,Nullarbor Dwarf Bettong,Bettongia pusilla,Diprotodontia,Potoroidae,1788,Unknown,Lowland ,Australia (Nullabor Plain),Extinct date not known but believed to persist into period of European settlement (1788) so this date conservatively applied.,
,Oriente Cave Rat,Boromys offella,Rodentia,Echimyidae,1500,Unknown. Hypothesised introduced predators,Island,Caribbean (Cuba),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Torre?s Cave Rat,Boromys torrei,Rodentia,Echimyidae,1500,Unknown. Hypothesised introduced predators,Island,Caribbean (Cuba),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Aurochs,Bos primigenius,Cetartiodactyla,Bovidae,1627,Hunting,Lowland ,Eurasia (widespread),,
,Hispaniolan Edible Rat,Brotomys voratus,Rodentia,Echimyidae,1546,Introduced Predators,Island,Caribbean (Hispaniola),Extinction date approximate,
,Desert Rat Kangaroo,Caloprymnus campestris,Diprotodontia,Potoroidae,1935,Habitat loss & Introduced Predators,Lowland ,Australia (Central Deserts),,
,Pig-footed Bandicoot,Chaeropus ecaudatus,Peramelemorphia,Chaeropodidae,1901,Unknown.  ,Lowland,Australia (Interior),,
,White-footed Rabbit-rat,Conilurus albipes,Rodentia,Muridae,1861,Habitat disruption by livestock and Introduced predators,Lowland,Australia (Eastern),,
,Capricorn Rabbit-rat,Conilurus capricornensis,Rodentia,Muridae,2003,Habitat disruption by livestock and Introduced predators,Lowland,Australia (North-east),Known only from sub-fossil remains. Optimistic last seen date as 2013 although could be much earlier.,
,Buhler's Rat,Coryphomys buehleri,Rodentia,Muridae,Unknown. Maybe <1500?,Unknown,Island,Lesser Sundas (Timor),Known only from sub-fossil fragments. No approximate extinction date in the literature.,
,Red-bellied Gracile Mouse Opossum,Cryptonanus ignitus,Didelphimorphia,Didelphidae,1962,Habitat destruction,Lowland,South America (Argentina),,
,Giant Fosa,Cryptoprocta spelea,Carnivora,Eupleridae,Unknown. Probably <1500.,Unknown,Island,Madagascar,"Extinction date unknown. Into Holocene at least, but probably prehistoric. Delete?",
,Falklands Wolf,Dusicyon australis,Carnivora,Canidae,1876,Hunting,Island,Falklands,,
,Un-named Wolf sp.,Dusicyon avus,Carnivora,Canidae,1550,"Unknown. Hypothesised habitat change, hunting and hybridization",Lowland,South America (Patagonia),Extinction date approximate based on a conservative estimate from carbon dating records,
,Queen Of Sheba's Gazelle,Gazella bilkis,Cetartiodactyla,Bovidae,1951,Hunting,Montane,Arabian Peninsular (Yemen),,
